VK,HT,FT,HT_normalized,FT_normalized,Injection
32,96,80,0.06086956521739131,0.06756756756756757,0
84,96,160,0.06086956521739131,0.13513513513513514,0
72,128,48,0.0822742474916388,0.04054054054054054,0
69,48,112,0.028762541806020066,0.0945945945945946,0
82,160,32,0.10367892976588629,0.02702702702702703,0
69,112,112,0.07157190635451505,0.0945945945945946,0
32,112,48,0.07157190635451505,0.04054054054054054,0
83,112,160,0.07157190635451505,0.13513513513513514,0
72,112,48,0.07157190635451505,0.04054054054054054,0
79,112,96,0.07157190635451505,0.08108108108108109,0
85,112,32,0.07157190635451505,0.02702702702702703,0
76,112,176,0.07157190635451505,0.14864864864864866,0
68,112,96,0.07157190635451505,0.08108108108108109,0
32,96,64,0.06086956521739131,0.05405405405405406,0
66,112,128,0.07157190635451505,0.10810810810810811,0
69,112,96,0.07157190635451505,0.08108108108108109,0
32,112,80,0.07157190635451505,0.06756756756756757,0
78,96,176,0.06086956521739131,0.14864864864864866,0
79,160,96,0.10367892976588629,0.08108108108108109,0
32,112,112,0.07157190635451505,0.0945945945945946,0
81,80,144,0.05016722408026756,0.12162162162162163,0
85,128,80,0.0822742474916388,0.06756756756756757,0
69,256,192,0.16789297658862876,0.16216216216216217,0
83,112,160,0.07157190635451505,0.13513513513513514,0
84,128,64,0.0822742474916388,0.05405405405405406,0
73,177,63,0.11505016722408026,0.05320945945945946,0
79,127,65,0.08160535117056857,0.05489864864864865,0
78,96,80,0.06086956521739131,0.06756756756756757,0
73,144,160,0.09297658862876254,0.13513513513513514,0
78,112,80,0.07157190635451505,0.06756756756756757,0
71,112,64,0.07157190635451505,0.05405405405405406,0
32,96,144,0.06086956521739131,0.12162162162162163,0
79,128,112,0.0822742474916388,0.0945945945945946,0
70,96,80,0.06086956521739131,0.06756756756756757,0
32,96,80,0.06086956521739131,0.06756756756756757,0
73,96,96,0.06086956521739131,0.08108108108108109,0
84,128,96,0.0822742474916388,0.08108108108108109,0
190,128,128,0.0822742474916388,0.10810810810810811,0
32,128,64,0.0822742474916388,0.05405405405405406,0
16,208,240,0.13578595317725753,0.20270270270270271,0
79,128,96,0.0822742474916388,0.08108108108108109,0
78,112,192,0.07157190635451505,0.16216216216216217,0
69,80,176,0.05016722408026756,0.14864864864864866,0
32,64,96,0.03946488294314381,0.08108108108108109,0
79,112,112,0.07157190635451505,0.0945945945945946,0
70,48,112,0.028762541806020066,0.0945945945945946,0
32,80,32,0.05016722408026756,0.02702702702702703,0
84,160,128,0.10367892976588629,0.10810810810810811,0
72,112,48,0.07157190635451505,0.04054054054054054,0
69,96,96,0.06086956521739131,0.08108108108108109,0
32,80,48,0.05016722408026756,0.04054054054054054,0
79,112,112,0.07157190635451505,0.0945945945945946,0
84,128,80,0.0822742474916388,0.06756756756756757,0
72,80,128,0.05016722408026756,0.10810810810810811,0
69,113,111,0.07224080267558529,0.09375,0
82,144,65,0.09297658862876254,0.05489864864864865,0
32,96,80,0.06086956521739131,0.06756756756756757,0
73,96,128,0.06086956521739131,0.10810810810810811,0
83,304,96,0.2,0.08108108108108109,0
85,112,240,0.07157190635451505,0.20270270270270271,0
69,64,176,0.03946488294314381,0.14864864864864866,0
83,112,128,0.07157190635451505,0.10810810810810811,0
32,80,112,0.05016722408026756,0.0945945945945946,0
84,107,117,0.06822742474916388,0.09881756756756757,0
72,95,59,0.06020066889632107,0.04983108108108108,0
65,143,80,0.09230769230769231,0.06756756756756757,0
84,111,64,0.07090301003344482,0.05405405405405406,0
32,95,64,0.06020066889632107,0.05405405405405406,0
67,112,176,0.07157190635451505,0.14864864864864866,0
79,128,48,0.0822742474916388,0.04054054054054054,0
77,96,64,0.06086956521739131,0.05405405405405406,0
69,97,79,0.06153846153846154,0.06672297297297297,0
83,96,97,0.06086956521739131,0.08192567567567567,0
32,96,96,0.06086956521739131,0.08108108108108109,0
87,112,127,0.07157190635451505,0.10726351351351351,0
73,80,97,0.05016722408026756,0.08192567567567567,0
84,144,112,0.09297658862876254,0.0945945945945946,0
72,112,80,0.07157190635451505,0.06756756756756757,0
32,113,79,0.07224080267558529,0.06672297297297297,0
71,96,257,0.06086956521739131,0.2170608108108108,0
65,112,96,0.07157190635451505,0.08108108108108109,0
89,111,96,0.07090301003344482,0.08108108108108109,0
32,96,96,0.06086956521739131,0.08108108108108109,0
77,81,207,0.050836120401337795,0.17483108108108109,0
65,96,49,0.06086956521739131,0.041385135135135136,0
82,288,64,0.18929765886287625,0.05405405405405406,0
73,96,256,0.06086956521739131,0.21621621621621623,0
65,97,111,0.06153846153846154,0.09375,0
